Sample Number,PolicyStartDate,AMI_monthly_premium,AMI_yearly_premium,AMI_agreed_value_minimum,AMI_agreed_value_maximum,AMI_Error_code,AMI_selected_car_variant,AMI_selected_address,AMI_agreed_value,AMI_No_claims_bonus
10346,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10347,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10348,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10349,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11255,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10066,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10352,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11615,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10354,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10355,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10356,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10357,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11937,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11311,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10360,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10361,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11047,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11639,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10364,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10365,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10366,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11866,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10368,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10867,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10370,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10371,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11536,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10373,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10374,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10067,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10093,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10377,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11250,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10379,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10380,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10381,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10033,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10383,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11343,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10576,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10386,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10387,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10388,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11815,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10390,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10391,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10392,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10393,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10394,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10395,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10396,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10397,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10398,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10911,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10400,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10401,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10402,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10260,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10404,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10405,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
